kind,repository,subject,status,owner,updated_at,expires_at,reason,source
repo,0no-co/gql.tada,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L1
repo,abema/go-mp4,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L2
repo,abs-lang/abs,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L3
repo,agentscope-ai/reme,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L5
repo,agronholm/apscheduler,,used,,2026-09-09T14:46:49Z,,Prior locally verified submission; this does not establish platform approval.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L746
repo,aider-ai/aider,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L6
repo,aiidateam/aiida-core,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L7
repo,aio-libs/aiomonitor,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L8
repo,aksiksi/compose2nix,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L9
repo,alan-turing-institute/clevercsv,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L10
repo,alandefreitas/matplotplusplus,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L11
repo,alecthomas/participle,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L12
repo,alexbol99/flatten-js,,used,,2026-09-05T23:43:24Z,,Prior locally verified submission; this does not establish platform approval.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L562
repo,alonrbar/easy-template-x,,blocked,,,,Existing explicit repository exclusion; original reason not recorded.,https://github.com/samridh-girdhar/disallowed-repos/blob/f8cf4e5c038231261885b55c772c71f63e6a7938/disallowed_repos.csv#L13
